*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;0;168
1;0;168
2;0;168
3;0;168
4;0;168
5;0;168
6;0;168
7;0;168
8;0;168
9;0;168
10;0;168
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
9;L697;4;6;0:13:25:00;0:13:25:00;2;
9;L697w;6;6;0:13:25:00;0:13:30:00;9;
9;771;6;100;0:13:30:00;0:13:49:00;1;
9;L771;100;7;0:13:49:00;0:13:50:00;2;
9;L771w;7;7;0:13:50:00;0:14:04:00;9;
9;827;7;4;0:14:04:00;0:14:25:00;1;
9;L827;4;6;0:14:25:00;0:14:25:00;2;
9;L827w;6;6;0:14:25:00;0:14:30:00;9;
9;871;6;90;0:14:30:00;0:14:48:00;1;
9;ZD871;90;168;0:14:48:00;0:15:11:00;3;
9;VD1077;168;7;0:16:11:00;0:16:34:00;4;
9;1077;7;4;0:16:34:00;0:16:55:00;1;
9;L1077;4;6;0:16:55:00;0:16:55:00;2;
9;L1077w;6;6;0:16:55:00;0:17:00:00;9;
9;1129;6;24;0:17:00:00;0:17:26:00;1;
9;1129w;24;24;0:17:26:00;0:17:27:00;9;
9;1171;24;4;0:17:27:00;0:17:55:00;1;
9;1171w;4;4;0:17:55:00;0:18:00:00;9;
9;1242;4;89;0:18:00:00;0:18:26:00;1;
9;1242w;89;89;0:18:26:00;0:18:41:00;9;
9;1301;89;16;0:18:41:00;0:19:09:00;1;
9;ZD1301;16;168;0:19:09:00;0:19:21:00;3;
9;VD1455;168;6;0:22:18:00;0:22:30:00;4;
9;1455;6;80;0:22:30:00;0:22:40:00;1;
9;1458;80;29;0:22:40:00;0:22:50:00;1;
9;ZD1458;29;168;0:22:50:00;0:23:02:00;3;
10;VD250;168;4;0:07:18:00;0:07:30:00;4;
10;250;4;15;0:07:30:00;0:08:10:00;1;
10;250w;15;15;0:08:10:00;0:08:15:00;9;
10;324;15;6;0:08:15:00;0:08:55:00;1;
10;L324;6;113;0:08:55:00;0:09:13:00;2;
10;L324w;113;113;0:09:13:00;0:09:28:00;9;
10;427;113;16;0:09:28:00;0:09:59:00;1;
10;L427;16;45;0:09:59:00;0:10:09:00;2;
10;L427w;45;45;0:10:09:00;0:10:20:00;9;
10;500;45;29;0:10:20:00;0:10:40:00;1;
10;L500;29;6;0:10:40:00;0:10:41:00;2;
10;L500w;6;6;0:10:41:00;0:10:45:00;9;
10;537;6;45;0:10:45:00;0:11:04:00;1;
10;L537;45;6;0:11:04:00;0:11:13:00;2;
10;L537w;6;6;0:11:13:00;0:11:15:00;9;
10;577;6;42;0:11:15:00;0:11:34:00;1;
10;L577;42;88;0:11:34:00;0:11:46:00;2;
10;L577w;88;88;0:11:46:00;0:11:55:00;9;
10;629;88;5;0:11:55:00;0:12:40:00;1;
10;629w;5;5;0:12:40:00;0:12:45:00;9;
10;705;5;6;0:12:45:00;0:13:25:00;1;
10;705w;6;6;0:13:25:00;0:13:45:00;9;
10;802;6;45;0:13:45:00;0:14:04:00;1;
10;802w;45;45;0:14:04:00;0:14:20:00;9;
10;853;45;29;0:14:20:00;0:14:40:00;1;
10;ZD853;29;168;0:14:40:00;0:14:52:00;3;
10;VD1025;168;4;0:15:48:00;0:16:00:00;4;
10;1025;4;117;0:16:00:00;0:16:30:00;1;
10;L1025;117;93;0:16:30:00;0:16:30:00;2;
10;L1025w;93;93;0:16:30:00;0:16:51:00;9;
10;1107;93;6;0:16:51:00;0:17:25:00;1;
10;1107w;6;6;0:17:25:00;0:17:30:00;9;
10;1182;6;100;0:17:30:00;0:17:49:00;1;
10;L1182;100;7;0:17:49:00;0:17:50:00;2;
10;L1182w;7;7;0:17:50:00;0:18:04:00;9;
10;1245;7;4;0:18:04:00;0:18:25:00;1;
10;L1245;4;88;0:18:25:00;0:18:30:00;2;
10;L1245w;88;88;0:18:30:00;0:18:40:00;9;
10;1299;88;5;0:18:40:00;0:19:20:00;1;
10;1299w;5;5;0:19:20:00;0:19:25:00;9;
10;1364;5;16;0:19:25:00;0:19:58:00;1;
10;ZD1364;16;168;0:19:58:00;0:20:10:00;3;
